fen,moves,rating,themes,gameurl,moves_alg,final_fen,fen_after_first_move,placement,active,castling,enpassant,number_of_pieces,positions,id
2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42,g6h4 c5b5 h4g2 b5a6 g2e3 a6b7,1914,crushing endgame long,https://lichess.org/TfRvsd3p/black#84, Nh4 Kxb5 Ng2 Ka6 Ne3 Kb7,2nk4/1K6/2PBp3/4P1p1/1P4P1/4n3/8/8 b - - 4 45,2nk4/8/2PBp3/1pK1P1p1/1P4Pn/8/8/8 w - - 3 43,2nk4/8/2PBp3/1pK1P1p1/1P4Pn/8/8/8,w,-,-,12,"P b4, p b5, K c5, P c6, n c8, B d6, k d8, P e5, p e6, P g4, p g5, n h4",20
2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1847,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53, Rxe4 Nd2+ Ka1 Rc1#,8/pR5p/5p1k/4p3/4R3/B5PP/PP1n1P2/K1r5 w - - 3 29,2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27,2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6,b,-,-,16,"P a2, B a3, p a7, K b1, P b2, R b7, r c8, R e4, p e5, P f2, n f3, p f6, P g3, P h3, k h6, p h7",21
r1bqk1nr/1pp2ppp/p1pb4/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,d8f6 d4e5 d6e5 c1g5 f6d6 f3e5 d6d1 f1d1,1729,advantage fork opening veryLong,https://lichess.org/TAffogpQ/black#12, Qf6 dxe5 Bxe5 Bg5 Qd6 Nxe5 Qxd1 Rxd1,r1b1k1nr/1pp2ppp/p1p5/4N1B1/4P3/8/PPP2PPP/RN1R2K1 b kq - 0 10,r1b1k1nr/1pp2ppp/p1pb1q2/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 7,r1b1k1nr/1pp2ppp/p1pb1q2/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1,w,kq,-,30,"R a1, P a2, p a6, r a8, N b1, P b2, p b7, B c1, P c2, p c6, p c7, b c8, Q d1, P d4, b d6, P e4, p e5, k e8, R f1, P f2, N f3, q f6, p f7, K g1, P g2, p g7, n g8, P h2, p h7, r h8",22
8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1249,crushing exposedKing long middlegame skewer,https://lichess.org/n9vCFmKh/black#72, Kg8 Rh8+ Kf7 Rh7+ Ke8 Rxe7+,4k3/r1b1R3/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K5 b - - 0 39,6k1/r1b1q3/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R w - - 2 37,6k1/r1b1q3/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R,w,-,-,17,"N a2, r a7, Q b2, P b4, K c1, B c3, P c5, p c6, b c7, p d5, P e3, p e4, q e7, n g4, p g6, k g8, R h1",23
1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,1017,crushing endgame fork short,https://lichess.org/n0UvwK36#73, Rh8 Nf7+ Ke4 Nxh8,7n/1p2k2p/p5p1/8/4K3/6P1/P6P/8 w - - 0 39,7R/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 b - - 11 37,7R/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8,b,-,-,11,"P a2, p a6, p b7, n d6, K e5, k e7, P g3, p g6, P h2, p h7, R h8",24
6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1326,crushing kingsideAttack master middlegame pin short,https://lichess.org/p85fiZcl#57, Rg1 Ng3+ Qxg3 Rxg3,7k/pp6/2n5/3pp2p/3p4/2P2Prq/PP4NB/R5RK w - - 0 31,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK,b,-,-,21,"R a1, P a2, p a7, P b2, p b7, P c3, n c6, p d4, p d5, p e5, Q f2, P f3, n f5, R g1, N g2, r g8, K h1, B h2, q h3, p h5, k h8",25
r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1290,crushing fork middlegame short,https://lichess.org/JPN97v7j#29, dxe6 Nd3+ Kg1 Nxf4,r2qr1k1/ppp2ppp/4P3/8/2P2n2/2N2N1P/PP4P1/R4RK1 w - - 0 17,r2qr1k1/ppp2ppp/4P3/8/1nP2Q2/2N2N1P/PP3KP1/R4R2 b - - 0 15,r2qr1k1/ppp2ppp/4P3/8/1nP2Q2/2N2N1P/PP3KP1/R4R2,b,-,-,23,"R a1, P a2, p a7, r a8, P b2, n b4, p b7, N c3, P c4, p c7, q d8, P e6, r e8, R f1, K f2, N f3, Q f4, p f7, P g2, p g7, k g8, P h3, p h7",26
2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1914,advantage discoveredAttack middlegame pin short,https://lichess.org/W3wvnzlo#47, Rxf1 Qxd6 Bxd6 Rxf1,2r3k1/6pp/3B4/8/3N4/6P1/PP1K3P/5r2 w - - 0 26,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/5R2 b - - 0 24,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/5R2,b,-,-,15,"P a2, P b2, r c8, K d2, N d4, Q d6, R f1, B f4, q f6, r f8, P g3, p g7, k g8, P h2, p h7",27
rnbqkb1r/pppp2pp/8/4P3/2B5/4p3/PPPP2PP/R1BQK1NR w KQkq - 0 7,d1f3 d8h4 e1d1 h4c4,1631,advantage fork opening short,https://lichess.org/fTegzZIT#13, Qf3 Qh4+ Kd1 Qxc4,rnb1kb1r/pppp2pp/8/4P3/2q5/4pQ2/PPPP2PP/R1BK2NR w kq - 0 9,rnbqkb1r/pppp2pp/8/4P3/2B5/4pQ2/PPPP2PP/R1B1K1NR b KQkq - 1 7,rnbqkb1r/pppp2pp/8/4P3/2B5/4pQ2/PPPP2PP/R1B1K1NR,b,KQkq,-,28,"R a1, P a2, p a7, r a8, P b2, p b7, n b8, B c1, P c2, B c4, p c7, b c8, P d2, p d7, q d8, K e1, p e3, P e5, k e8, Q f3, b f8, N g1, P g2, p g7, R h1, P h2, p h7, r h8",28
4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1099,crushing endgame exposedKing long rookEndgame,https://lichess.org/dq15P00L#69, Rxc6 Re1+ Rxe1 Rxe1+ Kg2 d3,8/p5k1/2R4p/2Pp4/1P4P1/P2p3P/6K1/4r3 w - - 0 38,4r3/p5k1/2R4p/2Pp4/1P1pr1P1/P6P/8/3R3K b - - 0 35,4r3/p5k1/2R4p/2Pp4/1P1pr1P1/P6P/8/3R3K,b,-,-,15,"P a3, p a7, P b4, P c5, R c6, R d1, p d4, p d5, r e4, r e8, P g4, k g7, K h1, P h3, p h6",29
4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41,g7f7 e8f7 e5h8 f8e7,1742,advantage endgame short,https://lichess.org/aFlzjb1K#81, Rxf7+ Qxf7 Qh8+ Ke7,7Q/1b2kq2/p7/1p6/4P2P/P2P3K/2r5/3R4 w - - 2 43,4qk2/1b3R2/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 b - - 0 41,4qk2/1b3R2/p7/1p2Q3/4P2P/P2P3K/2r5/3R4,b,-,-,14,"P a3, p a6, p b5, b b7, r c2, R d1, P d3, P e4, Q e5, q e8, R f7, k f8, K h3, P h4",30
8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48,e1g2 c3c2 b1a2 c2c1q h7d7 d2e2,1448,advancedPawn crushing defensiveMove deflection endgame long promotion,https://lichess.org/drahwNdj#95, Nxg2 c2+ Ka2 c1=Q Rd7+ Ke2,8/3R4/5p2/p7/7P/8/K3k1N1/2q5 w - - 2 51,8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,8/7R/5p2/p7/7P/2p5/3k2N1/1K6,b,-,-,8,"p a5, K b1, p c3, k d2, p f6, N g2, P h4, R h7",31
r2r2k1/2q1bpp1/3p1n1p/1ppN4/1P1BP3/P5Q1/4RPPP/R5K1 b - - 1 20,f6d5 g3g7,1170,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dQ85JUe1/black#40, Nxd5 Qxg7#,r2r2k1/2q1bpQ1/3p3p/1ppn4/1P1BP3/P7/4RPPP/R5K1 b - - 0 21,r2r2k1/2q1bpp1/3p3p/1ppn4/1P1BP3/P5Q1/4RPPP/R5K1 w - - 0 21,r2r2k1/2q1bpp1/3p3p/1ppn4/1P1BP3/P5Q1/4RPPP/R5K1,w,-,-,23,"R a1, P a3, r a8, P b4, p b5, p c5, q c7, B d4, n d5, p d6, r d8, R e2, P e4, b e7, P f2, p f7, K g1, P g2, Q g3, p g7, k g8, P h2, p h6",32
3q2k1/2r5/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K b - - 0 24,c7d7 e4f6 d8f6 h6f6,978,crushing fork middlegame short,https://lichess.org/IajkZZBp/black#48, Rd7 Nxf6+ Qxf6 Qxf6,6k1/3r4/pp3Q2/2b1n3/P7/2P5/1P4PP/R6K b - - 0 26,3q2k1/3r4/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K w - - 1 25,3q2k1/3r4/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K,w,-,-,17,"R a1, P a4, p a6, P b2, p b6, P c3, b c5, r d7, q d8, N e4, n e5, p f6, P g2, k g8, K h1, P h2, Q h6",33
8/2k3n1/3p2p1/1KpP2Pp/2P4P/7B/8/8 w - - 0 57,b5a6 c7d8 a6b5 g7f5,2151,crushing endgame short,https://lichess.org/sMrTPfXp#113, Ka6 Kd8 Kb5 Nf5,3k4/8/3p2p1/1KpP1nPp/2P4P/7B/8/8 w - - 4 59,8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8 b - - 1 57,8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8,b,-,-,12,"K a6, P c4, p c5, k c7, P d5, p d6, P g5, p g6, n g7, B h3, P h4, p h5",34
2q3k1/4br1p/6RQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 0 27,h7g6 h6h8,1476,endgame mate mateIn1 oneMove,https://lichess.org/HE33gdt4/black#54, hxg6 Qh8#,2q3kQ/4br2/6p1/1p1n2p1/7P/1P4P1/1B2PP2/6K1 b - - 1 28,2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 28,2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1,w,-,-,16,"B b2, P b3, p b5, q c8, n d5, P e2, b e7, P f2, r f7, K g1, P g3, p g5, p g6, k g8, P h4, Q h6",35
3r1rk1/1pR3pp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 w - - 2 27,c7g7 g8g7 h3g3 g7h8,1399,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/IqVPsfjB#53, Rxg7+ Kxg7 Qg3+ Kh8,3r1r1k/1p5p/p2bp3/1q2Np2/3P4/1P4Q1/5PPP/4R1K1 w - - 2 29,3r1rk1/1p4Rp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1 b - - 0 27,3r1rk1/1p4Rp/p2bp3/1q2Np2/3P4/1P5Q/5PPP/4R1K1,b,-,-,20,"p a6, P b3, q b5, p b7, P d4, b d6, r d8, R e1, N e5, p e6, P f2, p f5, r f8, K g1, P g2, R g7, k g8, P h2, Q h3, p h7",36
r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,758,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64, Nxc4 Rxa8+ Qb8 Rxb8#,1R5k/6pp/8/2p5/2np4/7P/2PB1PP1/6K1 b - - 0 34,r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 33,r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1,w,-,-,15,"R a4, r a8, P c2, n c4, p c5, q c7, B d2, p d4, P f2, K g1, P g2, p g7, P h3, p h7, k h8",37
